team_id,season,stat.gamesPlayed,stat.wins,stat.losses,stat.ot,stat.pts,stat.ptPctg,stat.goalsPerGame,stat.goalsAgainstPerGame,stat.evGGARatio,stat.powerPlayPercentage,stat.powerPlayGoals,stat.powerPlayGoalsAgainst,stat.powerPlayOpportunities,stat.penaltyKillPercentage,stat.shotsPerGame,stat.shotsAllowed,stat.winScoreFirst,stat.winOppScoreFirst,stat.winLeadFirstPer,stat.winLeadSecondPer,stat.winOutshootOpp,stat.winOutshotByOpp,stat.faceOffsTaken,stat.faceOffsWon,stat.faceOffsLost,stat.faceOffWinPercentage,stat.shootingPctg,stat.savePctg,team.id,team.name,team.link,stat.penaltyKillOpportunities,stat.savePctRank,stat.shootingPctRank
17,2017,,27th,25th,3rd,26th,26th,28th,24th,24th,24th,25th,27th,27th,23rd,25th,15th,27th,27th,25th,23rd,29th,29th,14th,18th,25th,24th,,,17.0,Detroit Red Wings,/api/v1/teams/17,18th,24th,23rd
18,2017,82.0,53,18,11,117,71.3,3.183,2.488,1.3125,21.2,58.0,54.0,273.0,81.9,32.2073,32.4268,0.804,0.387,0.742,0.86,0.576,0.698,5165.0,2753.0,2412.0,53.3,9.9,0.923,18.0,Nashville Predators,/api/v1/teams/18,,,
18,2017,,2nd,1st,8th,1st,1st,7th,2nd,2nd,11th,6th,22nd,4th,6th,15th,21st,1st,17th,17th,18th,9th,9th,3rd,1st,6th,2nd,,,18.0,Nashville Predators,/api/v1/teams/18,31st,1st,9th
19,2017,82.0,44,32,6,94,57.3,2.72,2.707,1.087,15.4,38.0,47.0,246.0,79.7,32.6463,29.7317,0.756,0.27,0.889,0.914,0.561,0.48,4915.0,2487.0,2428.0,50.6,8.3,0.909,19.0,St. Louis Blues,/api/v1/teams/19,,,
19,2017,,16th,18th,29th,18th,18th,24th,6th,14th,30th,30th,13th,18th,18th,13th,3rd,7th,24th,2nd,7th,11th,11th,22nd,15th,8th,12th,,,19.0,St. Louis Blues,/api/v1/teams/19,8th,16th,26th
20,2017,82.0,37,35,10,84,51.2,2.634,2.963,0.9304,16.0,43.0,49.0,269.0,81.8,33.6463,31.1463,0.647,0.313,0.696,0.833,0.429,0.483,5056.0,2496.0,2560.0,49.4,7.8,0.905,20.0,Calgary Flames,/api/v1/teams/20,,,
20,2017,,20th,20th,15th,20th,20th,27th,19th,20th,28th,23rd,14th,5th,8th,6th,10th,25th,12th,24th,21st,22nd,22nd,9th,14th,24th,19th,,,20.0,Calgary Flames,/api/v1/teams/20,25th,21st,29th
21,2017,82.0,43,30,9,95,57.9,3.11,2.878,1.0857,22.0,65.0,45.0,296.0,83.3,29.6585,33.3049,0.766,0.2,0.815,0.875,0.448,0.577,4828.0,2135.0,2693.0,44.2,10.5,0.914,21.0,Colorado Avalanche,/api/v1/teams/21,,,
21,2017,,17th,17th,19th,17th,17th,10th,15th,15th,8th,3rd,8th,1st,4th,30th,27th,5th,28th,12th,13th,20th,20th,29th,31st,31st,31st,,,21.0,Colorado Avalanche,/api/v1/teams/21,24th,7th,3rd
22,2017,82.0,36,40,6,78,47.6,2.793,3.195,0.9261,14.8,31.0,57.0,210.0,76.7,33.4146,32.122,0.595,0.311,0.783,0.913,0.463,0.378,4917.0,2394.0,2523.0,48.7,8.4,0.901,22.0,Edmonton Oilers,/api/v1/teams/22,,,
22,2017,,22nd,26th,30th,23rd,23rd,20th,27th,21st,31st,31st,26th,31st,25th,7th,17th,26th,15th,13th,8th,18th,18th,21st,28th,19th,25th,,,22.0,Edmonton Oilers,/api/v1/teams/22,15th,27th,24th
23,2017,82.0,31,40,11,73,44.5,2.659,3.159,0.8415,21.5,53.0,60.0,247.0,78.3,30.0488,32.2073,0.515,0.286,0.875,0.75,0.281,0.435,4901.0,2427.0,2474.0,49.5,8.8,0.902,23.0,Vancouver Canucks,/api/v1/teams/23,,,
23,2017,,26th,27th,11th,27th,27th,26th,26th,27th,9th,13th,28th,16th,21st,28th,18th,29th,16th,4th,28th,30th,30th,23rd,23rd,15th,18th,,,23.0,Vancouver Canucks,/api/v1/teams/23,29th,26th,19th
