,team_id,player_id,full_name,role
481,16,8475209,Richard Panik,Forward
482,16,8475323,Marcus Kruger,Forward
483,16,8476430,Tomas Jurco,Forward
484,16,8476805,Spencer Abbott,Forward
485,16,8476994,Vinnie Hinostroza,Forward
486,16,8477353,Tyler Motte,Forward
487,16,8477401,John Hayden,Forward
488,16,8477451,Ryan Hartman,Forward
489,16,8477845,Trevor van Riemsdyk,Defenseman
490,16,8477929,Dennis Rasmussen,Forward
491,16,8477951,Nick Schmaltz,Forward
492,16,8478055,Gustav Forsling,Defenseman
493,16,8478528,Tanner Kero,Forward
494,16,8478550,Artemi Panarin,Forward
495,16,8479482,Michal Kempny,Defenseman
496,16,8470645,Corey Crawford,Goalie
497,16,8474152,Scott Darling,Goalie
498,17,8468083,Henrik Zetterberg,Forward
499,17,8468509,Niklas Kronwall,Defenseman
500,17,8470144,Frans Nielsen,Forward
501,17,8470318,Jonathan Ericsson,Defenseman
502,17,8470778,Drew Miller,Forward
503,17,8471242,Mike Green,Defenseman
504,17,8471716,Justin Abdelkader,Forward
505,17,8471794,Darren Helm,Forward
506,17,8474679,Gustav Nyquist,Forward
507,17,8474873,Brian Lashoff,Defenseman
508,17,8475193,Tomas Tatar,Forward
509,17,8475296,Mitch Callahan,Forward
510,17,8475324,Nick Jensen,Defenseman
511,17,8475772,Riley Sheahan,Forward
512,17,8476043,Ben Street,Forward
513,17,8476418,Robbie Russo,Defenseman
514,17,8476443,Xavier Ouellet,Defenseman
515,17,8476450,Ryan Sproul,Defenseman
516,17,8476822,Luke Glendening,Forward
517,17,8476960,Andreas Athanasiou,Forward
518,17,8477215,Danny DeKeyser,Defenseman
519,17,8477479,Tyler Bertuzzi,Forward
520,17,8477511,Anthony Mantha,Forward
521,17,8477931,Tomas Nosek,Forward
522,17,8477946,Dylan Larkin,Forward
523,17,8478371,Matt Lorito,Forward
524,17,8478431,Evgeny Svechnikov,Forward
525,17,8479252,Dan Renouf,Defenseman
526,17,8470657,Jimmy Howard,Goalie
527,17,8475852,Petr Mrazek,Goalie
528,17,8477225,Jared Coreau,Goalie
529,18,8467370,Mike Fisher,Forward
530,18,8467371,Mike Ribeiro,Forward
531,18,8470640,Matt Carle,Defenseman
532,18,8471385,Adam Pardy,Defenseman
533,18,8471657,Cody McLeod,Forward
534,18,8471707,James Neal,Forward
535,18,8471760,Cody Bass,Forward
536,18,8473942,Trevor Smith,Forward
537,18,8474056,P.K. Subban,Defenseman
538,18,8474134,Yannick Weber,Defenseman
539,18,8474569,Colin Wilson,Forward
540,18,8474600,Roman Josi,Defenseman
541,18,8475176,Ryan Ellis,Defenseman
542,18,8475218,Mattias Ekholm,Defenseman
543,18,8475225,Craig Smith,Forward
544,18,8475436,Mike Liambas,Forward
545,18,8475625,Matt Irwin,Defenseman
546,18,8475714,Calle Jarnkrok,Forward
547,18,8475766,Austin Watson,Forward
548,18,8475774,Petter Granberg,Defenseman
549,18,8475793,Ryan Johansen,Forward
550,18,8475868,Anthony Bitetto,Defenseman
551,18,8476158,Harry Zolnierczyk,Forward
552,18,8476447,Miikka Salomaki,Forward
553,18,8476779,Brad Hunt,Defenseman
554,18,8476857,Pontus Aberg,Forward
555,18,8476887,Filip Forsberg,Forward
556,18,8476925,Colton Sissons,Forward
557,18,8477919,Frederick Gaudreau,Forward
558,18,8477942,Kevin Fiala,Forward
559,18,8477973,Vladislav Kamenev,Forward
560,18,8478042,Viktor Arvidsson,Forward
561,18,8478851,Alexandre Carrier,Defenseman
562,18,8471469,Pekka Rinne,Goalie
563,18,8476992,Marek Mazanec,Goalie
564,18,8477424,Juuse Saros,Goalie
565,19,8470105,Scottie Upshall,Forward
566,19,8470151,Jay Bouwmeester,Defenseman
567,19,8470257,Alexander Steen,Forward
568,19,8470803,Kyle Brodziak,Forward
569,19,8471669,Paul Stastny,Forward
570,19,8471743,Vladimir Sobotka,Forward
571,19,8471761,Chris Butler,Defenseman
572,19,8471817,Ryan Reaves,Forward
573,19,8473534,Patrik Berglund,Forward
574,19,8474102,David Perron,Forward
575,19,8474125,Carl Gunnarsson,Defenseman
576,19,8474145,Robert Bortuzzo,Defenseman
577,19,8474565,Alex Pietrangelo,Defenseman
578,19,8474627,Jori Lehtera,Forward
579,19,8475175,Magnus Paajarvi,Forward
580,19,8475263,Wade Megan,Forward
581,19,8475765,Vladimir Tarasenko,Forward
582,19,8475768,Jaden Schwartz,Forward
583,19,8475844,Kenny Agostino,Forward
584,19,8476436,Dmitrij Jaskin,Forward
585,19,8476441,Joel Edmundson,Defenseman
586,19,8476855,Nail Yakupov,Forward
587,19,8476877,Jordan Schmaltz,Defenseman
588,19,8476892,Colton Parayko,Defenseman
589,19,8476989,Petteri Lindbohm,Defenseman
590,19,8477952,Robby Fabbri,Forward
591,19,8477964,Ivan Barbashev,Forward
592,19,8474596,Jake Allen,Goalie
593,19,8475622,Carter Hutton,Goalie
594,19,8477831,Pheonix Copley,Goalie
595,20,8468674,Deryk Engelland,Defenseman
596,20,8469770,Dennis Wideman,Defenseman
597,20,8470162,Matt Stajan,Forward
598,20,8470966,Mark Giordano,Defenseman
599,20,8471269,Nicklas Grossmann,Defenseman
600,20,8471346,Kris Versteeg,Forward
601,20,8471426,Troy Brouwer,Forward
602,20,8473564,Michael Frolik,Forward
603,20,8474150,Mikael Backlund,Forward
604,20,8474628,Michael Stone,Defenseman
605,20,8474642,Lance Bouma,Forward
606,20,8474673,TJ Brodie,Defenseman
607,20,8474749,Matt Bartkowski,Defenseman
608,20,8475163,Alex Chiasson,Forward
609,20,8475223,Linden Vey,Forward
610,20,8475878,Freddie Hamilton,Forward
611,20,8475907,Micheal Ferland,Forward
612,20,8476346,Johnny Gaudreau,Forward
613,20,8476452,Tyler Wotherspoon,Defenseman
614,20,8476462,Dougie Hamilton,Defenseman
615,20,8476873,Mark Jankowski,Forward
616,20,8476967,Brett Kulak,Defenseman
617,20,8477445,Hunter Shinkaruk,Forward
618,20,8477497,Sean Monahan,Forward
619,20,8477903,Garnet Hathaway,Forward
620,20,8477935,Sam Bennett,Forward
621,20,8478397,Rasmus Andersson,Defenseman
622,20,8479314,Matthew Tkachuk,Forward
623,20,8470880,Brian Elliott,Goalie
624,20,8473434,Chad Johnson,Goalie
625,20,8476903,Jon Gillies,Goalie
626,20,8479496,David Rittich,Goalie
627,21,8462042,Jarome Iginla,Forward
628,21,8467400,Francois Beauchemin,Defenseman
629,21,8469492,Fedor Tyutin,Defenseman
630,21,8470750,John Mitchell,Forward
631,21,8471260,Blake Comeau,Forward
632,21,8471262,Carl Soderberg,Forward
633,21,8471504,Rene Bourque,Forward
634,21,8473446,Erik Johnson,Defenseman
635,21,8474577,Joe Colborne,Forward
636,21,8474597,Cody Goloubef,Defenseman
637,21,8474605,Patrick Wiercioch,Defenseman
638,21,8475168,Matt Duchene,Forward
639,21,8475197,Tyson Barrie,Defenseman
640,21,8475199,Eric Gelinas,Defenseman
641,21,8475268,Gabriel Bourque,Forward
642,21,8476428,Rocco Grimaldi,Forward
643,21,8476442,Matt Nieto,Forward
644,21,8476455,Gabriel Landeskog,Forward
645,21,8476464,Duncan Siemens,Defenseman
