team_id,season,jerseyNumber,person.id,person.fullName,person.link,position.code,position.name,position.type,position.abbreviation
18,2022,95,8475168,Matt Duchene,/api/v1/people/8475168,C,Center,Forward,C
18,2022,22,8475197,Tyson Barrie,/api/v1/people/8475197,D,Defenseman,Defenseman,D
18,2022,14,8475218,Mattias Ekholm,/api/v1/people/8475218,D,Defenseman,Defenseman,D
18,2022,12,8475793,Ryan Johansen,/api/v1/people/8475793,C,Center,Forward,C
18,2022,64,8475798,Mikael Granlund,/api/v1/people/8475798,C,Center,Forward,C
18,2022,62,8475799,Nino Niederreiter,/api/v1/people/8475799,R,Right Wing,Forward,RW
18,2022,5,8475857,Kevin Gravel,/api/v1/people/8475857,D,Defenseman,Defenseman,D
18,2022,17,8476873,Mark Jankowski,/api/v1/people/8476873,C,Center,Forward,C
18,2022,9,8476887,Filip Forsberg,/api/v1/people/8476887,L,Left Wing,Forward,LW
18,2022,10,8476925,Colton Sissons,/api/v1/people/8476925,C,Center,Forward,C
18,2022,47,8477446,Michael McCarron,/api/v1/people/8477446,R,Right Wing,Forward,RW
18,2022,12,8477482,Zach Sanford,/api/v1/people/8477482,L,Left Wing,Forward,LW
18,2022,55,8477981,Roland McKeown,/api/v1/people/8477981,D,Defenseman,Defenseman,D
18,2022,82,8478438,Tommy Novak,/api/v1/people/8478438,C,Center,Forward,C
18,2022,3,8478468,Jeremy Lauzon,/api/v1/people/8478468,D,Defenseman,Defenseman,D
18,2022,13,8478508,Yakov Trenin,/api/v1/people/8478508,C,Center,Forward,C
18,2022,45,8478851,Alexandre Carrier,/api/v1/people/8478851,D,Defenseman,Defenseman,D
18,2022,71,8479335,Rasmus Asplund,/api/v1/people/8479335,C,Center,Forward,C
18,2022,57,8479371,Dante Fabbro,/api/v1/people/8479371,D,Defenseman,Defenseman,D
18,2022,84,8479661,Tanner Jeannot,/api/v1/people/8479661,L,Left Wing,Forward,LW
18,2022,52,8479984,Cal Foote,/api/v1/people/8479984,D,Defenseman,Defenseman,D
18,2022,8,8479996,Cody Glass,/api/v1/people/8479996,C,Center,Forward,C
18,2022,20,8480009,Eeli Tolvanen,/api/v1/people/8480009,R,Right Wing,Forward,RW
18,2022,44,8480748,Kiefer Sherwood,/api/v1/people/8480748,L,Left Wing,Forward,LW
18,2022,46,8480913,Jordan Gross,/api/v1/people/8480913,D,Defenseman,Defenseman,D
18,2022,24,8481056,Spencer Stastney,/api/v1/people/8481056,D,Defenseman,Defenseman,D
18,2022,43,8481077,John Leonard,/api/v1/people/8481077,L,Left Wing,Forward,LW
18,2022,26,8481577,Philip Tomasino,/api/v1/people/8481577,C,Center,Forward,C
18,2022,70,8481585,Egor Afanasyev,/api/v1/people/8481585,L,Left Wing,Forward,LW
18,2022,75,8481704,Juuso Parssinen,/api/v1/people/8481704,C,Center,Forward,C
