,team_id,season,player_id,full_name,first_name,last_name,jersey_number,position,position_code
108,4,2016,8474668,Dale Weise,Dale,Weise,22,Right Wing,RW
109,4,2016,8475170,Brayden Schenn,Brayden,Schenn,10,Center,C
110,4,2016,8475430,Brandon Manning,Brandon,Manning,26,Defenseman,D
111,4,2016,8475462,Radko Gudas,Radko,Gudas,7,Defenseman,D
112,4,2016,8475738,Jordan Weal,Jordan,Weal,43,Center,C
113,4,2016,8476177,Matt Read,Matt,Read,10,Right Wing,RW
114,4,2016,8476393,Nick Cousins,Nick,Cousins,21,Center,C
115,4,2016,8476461,Sean Couturier,Sean,Couturier,14,Center,C
116,4,2016,8476872,Scott Laughton,Scott,Laughton,21,Center,C
117,4,2016,8476906,Shayne Gostisbehere,Shayne,Gostisbehere,41,Defenseman,D
118,4,2016,8476955,Taylor Leier,Taylor,Leier,20,Left Wing,LW
119,4,2016,8477290,Michael Raffl,Michael,Raffl,18,Left Wing,LW
120,4,2016,8477462,Robert Hagg,Robert,Hagg,18,Defenseman,D
121,4,2016,8477502,Samuel Morin,Samuel,Morin,55,Left Wing,LW
122,4,2016,8477930,Pierre-Edouard Bellemare,Pierre-Edouard,Bellemare,41,Left Wing,LW
123,4,2016,8478439,Travis Konecny,Travis,Konecny,11,Right Wing,RW
124,4,2016,8478500,Ivan Provorov,Ivan,Provorov,9,Defenseman,D
125,4,2016,8479648,Roman Lyubimov,Roman,Lyubimov,13,Left Wing,LW
126,4,2016,8480087,Mike Vecchione,Mike,Vecchione,36,Right Wing,RW
127,4,2016,8473607,Michal Neuvirth,Michal,Neuvirth,30,Goalie,G
128,4,2016,8476932,Anthony Stolarz,Anthony,Stolarz,41,Goalie,G
129,5,2016,8464989,Matt Cullen,Matt,Cullen,7,Center,C
130,5,2016,8468309,Mark Streit,Mark,Streit,32,Defenseman,D
131,5,2016,8468493,Ron Hainsey,Ron,Hainsey,81,Defenseman,D
132,5,2016,8470110,Trevor Daley,Trevor,Daley,83,Defenseman,D
133,5,2016,8470543,Chris Kunitz,Chris,Kunitz,14,Left Wing,LW
134,5,2016,8470611,Eric Fehr,Eric,Fehr,21,Center,C
135,5,2016,8471215,Evgeni Malkin,Evgeni,Malkin,71,Center,C
136,5,2016,8471331,Kevin Porter,Kevin,Porter,12,Center,C
137,5,2016,8471675,Sidney Crosby,Sidney,Crosby,87,Center,C
138,5,2016,8471724,Kris Letang,Kris,Letang,58,Defenseman,D
139,5,2016,8471887,Patric Hornqvist,Patric,Hornqvist,70,Right Wing,RW
140,5,2016,8473542,Tom Sestito,Tom,Sestito,25,Left Wing,LW
141,5,2016,8473548,Phil Kessel,Phil,Kessel,8,Right Wing,RW
142,5,2016,8474009,Nick Bonino,Nick,Bonino,12,Center,C
143,5,2016,8474013,Ian Cole,Ian,Cole,82,Defenseman,D
144,5,2016,8474176,Carl Hagelin,Carl,Hagelin,62,Left Wing,LW
145,5,2016,8474602,Justin Schultz,Justin,Schultz,4,Defenseman,D
146,5,2016,8474611,Cameron Gaunce,Cameron,Gaunce,33,Defenseman,D
147,5,2016,8474660,David Warsofsky,David,Warsofsky,55,Defenseman,D
148,5,2016,8475208,Brian Dumoulin,Brian,Dumoulin,8,Defenseman,D
149,5,2016,8475810,Bryan Rust,Bryan,Rust,17,Right Wing,RW
150,5,2016,8475832,Tom Kuhnhackl,Tom,Kuhnhackl,14,Right Wing,RW
151,5,2016,8476162,Steve Oleksy,Steve,Oleksy,43,Defenseman,D
152,5,2016,8476293,Scott Wilson,Scott,Wilson,26,Center,C
153,5,2016,8476302,Frank Corrado,Frank,Corrado,18,Defenseman,D
154,5,2016,8476326,Josh Archibald,Josh,Archibald,15,Right Wing,RW
155,5,2016,8476874,Olli Maatta,Olli,Maatta,2,Defenseman,D
156,5,2016,8476884,Derrick Pouliot,Derrick,Pouliot,33,Defenseman,D
157,5,2016,8476897,Oskar Sundqvist,Oskar,Sundqvist,70,Center,C
158,5,2016,8477240,Carter Rowney,Carter,Rowney,37,Center,C
159,5,2016,8477244,Chad Ruhwedel,Chad,Ruhwedel,2,Defenseman,D
160,5,2016,8477404,Jake Guentzel,Jake,Guentzel,59,Left Wing,LW
161,5,2016,8477520,Jean-Sebastien Dea,Jean-Sebastien,Dea,48,Center,C
162,5,2016,8477839,Conor Sheary,Conor,Sheary,73,Left Wing,LW
163,5,2016,8478866,Dominik Simon,Dominik,Simon,51,Center,C
164,5,2016,8470594,Marc-Andre Fleury,Marc-Andre,Fleury,29,Goalie,G
165,5,2016,8476899,Matt Murray,Matt,Murray,30,Goalie,G
166,5,2016,8477237,Mike Condon,Mike,Condon,1,Goalie,G
167,5,2016,8477465,Tristan Jarry,Tristan,Jarry,35,Goalie,G
168,6,2016,8465009,Zdeno Chara,Zdeno,Chara,33,Defenseman,D
169,6,2016,8468575,Dominic Moore,Dominic,Moore,20,Center,C
170,6,2016,8468639,John-Michael Liles,John-Michael,Liles,26,Defenseman,D
171,6,2016,8470638,Patrice Bergeron,Patrice,Bergeron,37,Center,C
172,6,2016,8470655,David Backes,David,Backes,21,Right Wing,RW
173,6,2016,8471226,Drew Stafford,Drew,Stafford,18,Right Wing,RW
174,6,2016,8471276,David Krejci,David,Krejci,46,Center,C
175,6,2016,8471717,Adam McQuaid,Adam,McQuaid,54,Defenseman,D
176,6,2016,8473419,Brad Marchand,Brad,Marchand,63,Left Wing,LW
177,6,2016,8473492,Matt Beleskey,Matt,Beleskey,39,Left Wing,LW
178,6,2016,8474062,Riley Nash,Riley,Nash,18,Center,C
179,6,2016,8474625,Jimmy Hayes,Jimmy,Hayes,11,Right Wing,RW
180,6,2016,8475727,Ryan Spooner,Ryan,Spooner,15,Center,C
181,6,2016,8476191,Kevan Miller,Kevan,Miller,86,Defenseman,D
182,6,2016,8476303,Rob O'Gara,Rob,O'Gara,46,Defenseman,D
183,6,2016,8476374,Sean Kuraly,Sean,Kuraly,7,Center,C
184,6,2016,8476476,Joe Morrow,Joe,Morrow,70,Defenseman,D
185,6,2016,8476525,Colin Miller,Colin,Miller,24,Defenseman,D
186,6,2016,8476792,Torey Krug,Torey,Krug,47,Defenseman,D
187,6,2016,8476891,Matt Grzelcyk,Matt,Grzelcyk,48,Defenseman,D
188,6,2016,8477213,Tim Schaller,Tim,Schaller,59,Left Wing,LW
189,6,2016,8477320,Anton Blidh,Anton,Blidh,25,Left Wing,LW
190,6,2016,8477417,Peter Cehlarik,Peter,Cehlarik,22,Left Wing,LW
191,6,2016,8477956,David Pastrnak,David,Pastrnak,88,Right Wing,RW
192,6,2016,8478046,Danton Heinen,Danton,Heinen,43,Left Wing,LW
193,6,2016,8478366,Frank Vatrano,Frank,Vatrano,77,Right Wing,RW
194,6,2016,8478417,Jakob Forsbacka Karlsson,Jakob,Forsbacka,23,Center,C
195,6,2016,8478443,Brandon Carlo,Brandon,Carlo,25,Defenseman,D
196,6,2016,8478512,Austin Czarnik,Austin,Czarnik,21,Center,C
197,6,2016,8478569,Noel Acciari,Noel,Acciari,55,Center,C
198,6,2016,8479325,Charlie McAvoy,Charlie,McAvoy,73,Defenseman,D
199,6,2016,8471418,Anton Khudobin,Anton,Khudobin,31,Goalie,G
200,6,2016,8471695,Tuukka Rask,Tuukka,Rask,40,Goalie,G
201,6,2016,8475876,Zane McIntyre,Zane,McIntyre,31,Goalie,G
202,6,2016,8476876,Malcolm Subban,Malcolm,Subban,32,Goalie,G
203,7,2016,8467407,Brian Gionta,Brian,Gionta,12,Right Wing,RW
204,7,2016,8470324,Josh Gorges,Josh,Gorges,4,Defenseman,D
205,7,2016,8471742,Cody Franson,Cody,Franson,11,Defenseman,D
206,7,2016,8471811,Cal O'Reilly,Cal,O'Reilly,8,Center,C
207,7,2016,8473449,Kyle Okposo,Kyle,Okposo,21,Right Wing,RW
208,7,2016,8473992,Justin Falk,Justin,Falk,42,Defenseman,D
209,7,2016,8474567,Zach Bogosian,Zach,Bogosian,24,Defenseman,D
